Lp.,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Kategorie,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Pytanie [ENG],Odpowiedź A [ENG],Odpowiedź B [ENG],Odpowiedź C [ENG],Pytanie [DE],Odpowiedź A [DE],Odpowiedź B [DE],Odpowiedź C [DE],Pytanie [UA],Odpowiedź A [UA],Odpowiedź B [UA],Odpowiedź C [UA],MediaTag
1846,7121,O co należy zadbać  w pierwszej kolejności  w przypadku pożaru tramwaju podczas jazdy?,O bezpieczeństwo pasażerów i własne.,O zminimalizowanie uszkodzeń pojazdu.,O jazdę zgodną z rozkładem jazdy.,A,8D151.jpg,PT,,,,,What must you most of all ensure in the event of a tram fire while driving?,Your safety and that of the passengers.,Minimalizing damages to the vehicle.,Driving in accordance with the timetable.,Was ist vor allem im Falle eines Brandes der Straßenbahn während der Fahrt zu tun?,Eigene Sicherheit und die Sicherheit der Passagiere.,Schädenminimierung am Fahrzeug.,Fahrt gemäß des Fahrplans.,,,,,"<img src=""8D151.jpg"">"
1847,7122,W jaki sposób zorganizować ewakuację pasażerów  jeżeli w wyniku wypadku drogowego nastąpiła blokada drzwi?,Wezwać pomoc drogową.,Skorzystać z wyjść awaryjnych.,Wezwać Straż Pożarną.,B,8D152.jpg,PT,,,,,How should you about evacuating passengers  if the door gets blocked as a result of a road accident.,Call the breakdown service.,Use the emergency exit.,Call the Fire Brigade.,Auf welche Weise soll man die Evakuierung der Passagiere organisieren  wenn im Falle eines Verkehrsunfalls eine Blockade der Tür zum Vorschein kam?,Den Pannendienst holen.,Notausgänge in Anspruch nehmen.,Feuerwehr holen.,,,,,"<img src=""8D152.jpg"">"
1848,7123,Jak należy się zachować w przypadku pożaru wewnątrz tramwaju  podczas jazdy?,Dojechać do najbliższego przystanku i rozpocząć ewakuację pasażerów.,Zatrzymać pojazd  uruchomić gaśnicę i próbować samodzielnie ugasić ogień.,Zatrzymać pojazd  opuścić pantograf  otworzyć drzwi i rozpocząć ewakuację pasażerów.,C,8D153.jpg,PT,,,,,How should you behave in the event of a fire inside the tram while driving?,Drive to the nearest tram stop and begin evacuation of passengers.,Stop the vehicle  activate the fire extinguisher and independently try to extingusih the fire.,Stop the vehicle  relieve the pantograph  open the doors and commence evacuation of passengers.,Wie soll man sich im Falle eines Brandes im inneren der Straßenbahn während der Fahrt verhalten?,Bis zur nächsten Haltestelle fahren und die Evakuierung der Passagiere anfangen.,Das Fahrzeug anhalten  Feuerlöscher tätigen und versuchen  das Feuer eigenhändig zu löschen.,Das Fahrzeug anhalten  Stromabnehmer zusammenklappen und die Evakuierung der Passagiere anfangen.,,,,,"<img src=""8D153.jpg"">"
1849,7124,Czy w tej sytuacji wolno Ci zawrócić na skrzyżowaniu?,,,,Nie,1A303.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7124.webm,,,,In this situation  can you make a U-turn at the intersection?,,,,Dürfen Sie in dieser Situation an der Kreuzung wenden?,,,,Чи дозволено Вам  у цій ситуації  розвернутися на перехресті?,,,,"<video src=""1A303.webm"" controls>"
1850,7127,Czy w tej sytuacji masz prawo użyć sygnału dźwiękowego  aby ostrzec pieszego o niebezpieczeństwie?,,,,Tak,634.D33_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7127.webm,,,,Can you use the horn in this situation to warn the pedestrian of danger?,,,,"Darf man in der dargestellten Situation Tonsignal benutzen  um den Fußgänger vor 
Gefahr zu warnen?",,,,Чи можна в цій ситуації застосувати звуковий сигнал  щоб попередити пішохода про небезпеку?,,,,"<video src=""634.D33_org.webm"" controls>"
1851,7128,Czy w tej sytuacji powinieneś zmienić pas ruchu na środkowy  jeśli chcesz jechać na wprost?,,,,Tak,IMG_8931orgbm.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm7128.webm,,,,Should you change to the middle lane in this situation when you intend to go straight on?,,,,Sollen Sie in dieser Situation auf die mittlere Spur wechseln  wenn Sie geradeaus fahren wollen?,,,,Чи в цій ситуації Ви повинні перестроюватися в середню смугу  якщо Ви хочете їхати прямо?,,,,"<img src=""IMG_8931orgbm.jpg"">"
1852,7129,Czy w tej sytuacji masz prawo użyć sygnału dźwiękowego  aby ostrzec pieszego o niebezpieczeństwie?,,,,Tak,626.D33_1org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7129.webm,,,,Can you use the horn in this situation to warn the pedestrian of danger?,,,,Darf man in der dargestellten Situation Tonsignal benutzen  um den Fußgänger vor der Gefahr zu warnen?,,,,Чи можна в цій ситуації застосувати звуковий сигнал  щоб попередити пішохода про небезпеку?,,,,"<video src=""626.D33_1org.webm"" controls>"
1853,7130,Czy ze względów bezpieczeństwa wskazane jest  aby używając gaśnicy samochodowej  unikać pełnego otwarcia pokrywy komory silnika?,,,,Tak,R_2org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7130.webm,,,,When using the car extinguisher  is it proper to avoid full opening of the bonnet?,,,,Ist es  beim Verwenden des Autofeuerlöschers richtig  eine volle Öffnung der Motorhaube zu vermeiden?,,,,Чи з міркувань безпеки доцільно уникати повного відкриття капота під час застосування вогнегасника?,,,,"<video src=""R_2org.webm"" controls>"
1854,7131,Czy w tej sytuacji uzasadnione jest sprawdzenie  czy sprawca wypadku zaciągnął hamulec awaryjny i wyłączył silnik?,,,,Tak,R_1org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7131.webm,,,,Is it fully justifiable in the presented situation to check if the accident perpetrator had applied emergency brake and turned off the engine?,,,,Ist es in der dargestellten Situation begründet  zu überprüfen  ob der Unfallverursacher  die Notbremse angezogen und den Motor abgestellt hat?,,,,Чи варто в даній ситуації перевірити  чи винуватець ДТП затягнув ручне гальмо та заглушив двигун?,,,,"<video src=""R_1org.webm"" controls>"
1855,7132,Czy w przedstawionej sytuacji jesteś ostrzegany o niebezpieczeństwie wynikającym z nieoczekiwanej zmiany kierunku ruchu?,,,,Tak,A-30 z T-18 (7)org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm7132.webm,,,,Are you warned in this situation of a danger following from an unexpected change in the traffic direction?,,,,Wirst du in der dargestellten Situation vor Gefahr gewarnt  die sich aus plötzlichem Wechsel der Fahrtrichtung ergibt?,,,,Чи попереджають Вас у зображеній ситуації про небезпеку  що може виникнути через несподівану зміну напрямку руху?,,,,"<img src=""A-30 z T-18 (7)org.jpg"">"
1856,7133,Czy ten znak ostrzega o zbliżaniu się do skrzyżowania z jednokierunkową drogą podporządkowaną  której wlot znajduje się po lewej stronie?,,,,Nie,1A1124.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7133.webm,,,,Does this sign warn you of approaching an intersection with a one-way street without right of way from which traffic flows from the left side?,,,,Warnt dieses Verkehrszeichen davor  dass Sie sich einer Kreuzung mit einer von links einmündenden untergeordneten Einbahnstraße nähern?,,,,Чи попереджає Вас цей знак про наближення до перехрестя з другорядною дорогою з одностороннім рухом  яка прилягає зліва?,,,,"<video src=""1A1124.webm"" controls>"
1857,7135,Czy ten znak wskazuje  że jadąc samochodem osobowym masz obowiązek skręcić w prawo na najbliższym skrzyżowaniu?,,,,Nie,1A1316.jpg,B C D B1 C1 D1,pjm7135.webm,,,,Does this sign indicate that you must turn right at the nearest intersection if you drive a passenger car?,,,,Weist dieses Verkehrszeichen darauf hin  dass Sie mit einem Pkw an der nächsten Kreuzung nach rechts abbiegen müssen?,,,,Чи наказує цей знак Вам  якщо  Ви керуєте легковим автомобілем  на найближчому перехресті повернути праворуч?,,,,"<img src=""1A1316.jpg"">"
1858,7136,Czy jadąc samochodem osobowym możesz skręcić w prawo na tak oznakowaną drogę?,,,,Tak,1A1329.jpg,B B1,,,,,While driving a passenger car  can you turn right into the road marked this way?,,,,Dürfen Sie mit einem Pkw nach rechts in eine so gekennzeichnete Straße abbiegen?,,,,Чи можете Ви повернути праворуч  в так позначену дорогу  якщо Ви керуєте легковим автомобілем?,,,,"<img src=""1A1329.jpg"">"
1859,7139,Czy w tej sytuacji  jadąc na wprost  masz obowiązek umożliwić przejazd pojazdowi uprzywilejowanemu  który skręca w lewo?,,,,Tak,1A4126.webm,A B C D T AM A1 A2 B1 C1 D1,,,,,In this situation  while driving straight  do you have to give the right of way to the emergency vehicle turning left?,,,,Sollten Sie in dieser Situation beim Geradeausfahren dem nach links abbiegenden Einsatzfahrzeug die Durchfahrt ermöglichen?,,,,Чи у цій ситуації  рухаючись прямо  Ви зобов’язані дати дорогу автомобілю швидкої допомоги  який повертає ліворуч?,,,,"<video src=""1A4126.webm"" controls>"
1860,7140,Czy w tej sytuacji masz pierwszeństwo przed tramwajem?,,,,Nie,1A4224.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7140.webm,,,,In this situation  do you have the right of way over the tram?,,,,Haben Sie in dieser Situation Vorfahrt vor der Straßenbahn?,,,,Чи маєте Ви перевагу над трамваєм у цій ситуації?,,,,"<video src=""1A4224.webm"" controls>"
1861,7141,Czy w tej sytuacji masz obowiązek ustąpić pierwszeństwa tramwajowi?,,,,Tak,1A4225.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7141.webm,,,,In this situation  should you give the right of way to the tram?,,,,Sollen Sie in dieser Situation der Straßenbahn die Vorfahrt gewähren?,,,,Чи зобов'язані Ви дати дорогу трамваю в цій ситуації?,,,,"<video src=""1A4225.webm"" controls>"
1862,7142,Czy widoczny na skrzyżowaniu sygnał zielony oznacza bezkolizyjny skręt w lewo?,,,,Nie,1A4304.webm,B C D B1 C1 D1,,,,,Does the green light you see at the intersection indicate a collision-free left turn?,,,,Bedeutet das grüne Signal an der Kreuzung ein kollisionsfreies Abbiegen nach links?,,,,Чи зелений сигнал світлофора  який Ви бачите на перехресті  означає для Вас поворот ліворуч без зіткнень?,,,,"<video src=""1A4304.webm"" controls>"
1863,7143,Czy w tej sytuacji możesz opuścić skrzyżowanie?,,,,Tak,1A4310.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7143.webm,,,,In this situation  can you leave the intersection?,,,,Dürfen Sie in dieser Situation die Kreuzung verlassen?,,,,Чи Ви можете в цій ситуації виїхати з перехрестя?,,,,"<video src=""1A4310.webm"" controls>"
1864,7147,Czy w tej sytuacji masz prawo wjechać na skrzyżowanie z dowolnego pasa ruchu  jeśli zamierzasz skręcić w lewo?,,,,Nie,1A5114.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7147.webm,,,,In this situation  intending to turn left  can you enter this intersection from any lane?,,,,Dürfen Sie in dieser Situation  wenn Sie nach links abbiegen wollen  in diese Kreuzung vom beliebigen Fahrstreifen einfahren?,,,,Чи в цій ситуації Вам дозволено в'їхати на перехрестя з будь-якої смуги  якщо Ви збираєтеся повернути ліворуч?,,,,"<video src=""1A5114.webm"" controls>"
1865,7148,Czy w tej sytuacji możesz zatrzymać pojazd na środkowym pasie jezdni?,,,,Nie,1A5118.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7148.webm,,,,In this situation  can you stop the car in the middle lane?,,,,Dürfen Sie in dieser Situation das Fahrzeug auf dem mittleren Fahrstreifen anhalten?,,,,Чи можете Ви  в цій ситуації  зупинити транспортний засіб на середній смузі руху?,,,,"<video src=""1A5118.webm"" controls>"
1866,7149,Czy na tym skrzyżowaniu masz prawo skręcić w lewo z zajmowanego pasa ruchu?,,,,Tak,1A5232.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm7149.webm,,,,At this intersection  can you turn left from the lane you are occupying?,,,,Dürfen Sie an dieser Kreuzung vom linken Fahrstreifen nach links abbiegen?,,,,Чи дозволено Вам повертати ліворуч зі своєї смуги на цьому перехресті?,,,,"<img src=""1A5232.jpg"">"
1867,7150,Czy na tym skrzyżowaniu możesz zawrócić z lewego pasa ruchu?,,,,Tak,1A5233.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm7150.webm,,,,At this intersection  can you make a U-turn from the left lane?,,,,Dürfen Sie an dieser Kreuzung vom linken Fahrstreifen wenden?,,,,Чи можна на цьому перехресті розвернутися з лівої смуги?,,,,"<img src=""1A5233.jpg"">"
1868,7151,Czy w tej sytuacji masz prawo wyprzedzić tramwaj z lewej strony?,,,,Nie,1A5309.webm,A B C D T AM A1 A2 B1 C1 D1,,,,,In this situation  can you overtake the tram on the left?,,,,Dürfen Sie in dieser Situation die Straßenbahn links überholen?,,,,Чи дозволено Вам у цій ситуації обганяти трамвай зліва?,,,,"<video src=""1A5309.webm"" controls>"
1869,7153,Czy za tym znakiem masz prawo wyprzedzić pojazd uprzywilejowany?,,,,Tak,1A5312.webm,A B C D T AM A1 A2 B1 C1 D1,,,,,Are you allowed to overtake the emergency vehicle beyond this sign?,,,,Darf man Einsatzfahrzeuge auf der Straße hinter diesem Verkehrszeichen überholen?,,,,Чи дозволено Вам обганяти транспорт першочергового проїзду ( напр. машину швидкої допомоги) після проїзду цього знака?,,,,"<video src=""1A5312.webm"" controls>"
1870,7156,Czy w tej sytuacji masz obowiązek zachować szczególną ostrożność?,,,,Tak,1B121.webm,A B C D T AM A1 A2 B1 C1 D1,,,,,While driving behind a learner driver  do you have to exercise special caution?,,,,Sind Sie verpflichtet  besonders vorsichtig zu sein  wenn Sie hinter einem Fahrschulfahrzeug fahren?,,,,Чи зобов’язані Ви бути особливо обережним в цій ситуації?,,,,"<video src=""1B121.webm"" controls>"
1871,7157,Czy w tej sytuacji masz obowiązek ustąpić pierwszeństwa pieszym?,,,,Tak,1B224.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7157.webm,,,,In this situation  are you obliged to give right of way to the pedestrians?,,,,Sind Sie in dieser Situation verpflichtet  den Fußgängern Vorrang zu gewähren?,,,,Чи зобов'язані Ви уступати дорогу пішоходам у цій ситуації?,,,,"<video src=""1B224.webm"" controls>"
1872,7158,Czy w tej sytuacji masz prawo przejechać przed pieszymi?,,,,Nie,1B225.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7158.webm,,,,In this situation  can you drive in front of the pedestrians?,,,,Dürfen Sie in dieser Situation vor den Fußgängern durchfahren?,,,,Чи у цій ситуації Ви маєте право проїхати перед пішоходами?,,,,"<video src=""1B225.webm"" controls>"
1873,7159,Czy w tej sytuacji powinieneś zachować szczególną ostrożność a w razie potrzeby zatrzymać się?,,,,Tak,1B361.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7159.webm,,,,In this situation  should you exercise special caution and  if necessary  stop?,,,,Sollen Sie in dieser Situation besonders vorsichtig sein und  falls nötig  anhalten?,,,,Чи у цій ситуації Ви повинні бути особливо обережним і зупинитися  якщо необхідно?,,,,"<video src=""1B361.webm"" controls>"
1874,7160,Czy w tej sytuacji możesz wyprzedzić rowerzystę?,,,,Nie,1B410.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7160.webm,,,,In this situation  can you overtake the cyclist?,,,,Dürfen Sie in dieser Situation den Radfahrer überholen?,,,,Чи можна у цій ситуації обігнати велосипедиста?,,,,"<video src=""1B410.webm"" controls>"
1875,7161,Czy kierujący właściwie zabezpieczył pojazd przed jego opuszczeniem?,,,,Tak,1B414.webm,B C D B1 C1 D1,,,,,Did the driver properly secure the car before leaving it?,,,,Hat der Fahrzeugführer das Fahrzeug richtig abgesichert  bevor er es verlassen hat?,,,,Чи належним чином водій забезпечив транспортний засіб перед тим  як залишити його?,,,,"<video src=""1B414.webm"" controls>"
1876,7162,Czy kierujący właściwie zabezpieczył pojazd na czas postoju?,,,,Nie,1B415.webm,B C D B1 C1 D1,pjm7162.webm,,,,Did the driver properly secure the car for the duration of the stopover?,,,,Hat der Fahrzeugführer das Fahrzeug während des Parkens richtig abgesichert?,,,,Чи належним чином водій забезпечив транспортний засіб на час стоянки?,,,,"<video src=""1B415.webm"" controls>"
1877,7163,Czy zachowanie kierującego  który pozostawił samochód na postoju jest poprawne?,,,,Nie,1B416.webm,B C D B1 C1 D1,pjm7163.webm,,,,Is the conduct of the diver  who left the parked car  correct?,,,,Ist das Verhalten des Fahrzeugführers  der das Fahrzeug geparkt hat  richtig?,,,,Чи правильна поведінка водія  який зупинив свій автомобіль і залишив його у такому стані ?,,,,"<video src=""1B416.webm"" controls>"
1878,7166,Czy zatrzymując na tej drodze pojazd  który uległ awarii  masz obowiązek umieścić ostrzegawczy trójkąt odblaskowy w odległości 100 m za nim?,,,,Tak,1C123.jpg,B C D C1 D1,,,,,If you need to park the car on a road marked like this because it has broken down  are you obliged to place a warning triangle behind it within a distance of 100 m?,,,,Sollen Sie hinter einem Fahrzeug  das durch eine Panne auf einer so gekennzeichneten Straße liegenbleibt  ein reflektierendes Warndreieck in einer Entfernung von 100 m aufstellen?,,,,Чи зобов'язані Ви  зупиняючи транспортний засіб  що вийшов з ладу на цій дорозі  розмістити попереджувальний світловідбиваючий трикутник (знак аварійної зупинки) за 100 м позаду нього?,,,,"<img src=""1C123.jpg"">"
1879,7167,Czy na drodze ekspresowej  podczas postoju pojazdu silnikowego  który uległ awarii  masz obowiązek przez cały czas to sygnalizować?,,,,Tak,1C180.jpg,A B C D A1 A2 C1 D1,pjm7167.webm,,,,Are you obliged to indicate a break-down of a motor vehicle on the express road throughout the time the vehicle remains parked there?,,,,Sollen Sie eine Panne des Kraftfahrzeugs auf einer Schnellsstraße während der ganzen Zeit seines Liegenbleibens signalisieren?,,,,Якщо Ви стоїте своїм транспортним засобом  що вийшов з ладу  на швидкісній дорозі (S)  то чи зобов’язані Ви постійно про це сигналізувати?,,,,"<img src=""1C180.jpg"">"
1880,7168,Kiedy należy przeprowadzać okresowe badanie techniczne pojazdu samochodowego?,Zawsze co 3 lata.,Zawsze co 2 lata.,Przed upływem terminu podanego w dowodzie rejestracyjnym pojazdu.,C,2C250.jpg,B1,,,,,When do you have to carry out a periodic technical check-up of a passenger car?,Every 3 years.,Every 2 years.,Before the lapse of the deadline indicated in the registration card of the car.,Wann sind regelmäßige technische Untersuchungen eines Kraftfahrzeugs durchzuführen?,Alle 3 Jahre.,Alle 2 Jahre.,Vor dem Ablauf der im Fahrzeugschein angegebenen Frist.,,,,,"<img src=""2C250.jpg"">"
1881,7169,Jaka maksymalna liczba motocykli ma prawo jechać w zorganizowanej kolumnie?,10,15,20,A,3A108.jpg,A A1 A2,,,,,What is the maximum number of motorcycles which may ride in an organized column?,10,15,20,Wie viele Motorräder dürfen in einer organisierten Kolonne fahren?,10,15,20,,,,,"<img src=""3A108.jpg"">"
1882,7170,Której z tych czynności nie masz prawa wykonywać  gdy kierujesz motocyklem?,Przewozić dziecka w wieku do 7 lat.,Korzystać podczas jazdy z telefonu komórkowego wymagającego trzymania go w ręku.,Korzystać ze wskazań nawigacji GPS.,B,3C105.jpg,A A1 A2,,,,,Which of the following activities are you not allowed to perform while riding a motorcycle?,Carrying a child aged under 7.,Using a mobile phone while riding  if this requires you to hold the phone in your hand.,Using GPS.,Welche von den nachstehenden Tätigkeiten dürfen Sie beim Motorradfahren nicht ausüben?,Ein Kind unter 7 Jahren befördern.,Während der Fahrt ein Mobiltelefon benutzen  wenn es in der Hand gehalten sein muss.,GPS-Navi-Anweisungen nutzen.,,,,,"<img src=""3C105.jpg"">"
1883,7171,Czy masz prawo kierować holowanym motocyklem  jeśli nie posiadasz prawa jazdy uprawniającego do kierowania nim?,Nie.,Tak  jeśli motocykl jest holowany na połączeniu sztywnym.,Tak  niezależnie od rodzaju połączenia.,A,3C116.jpg,A A1 A2,,,,,Can you ride a towed motorcycle if you do not hold a motorcycle licence?,No.,Yes  if the motorcycle is towed by means of a rigid coupling.,Yes  regardless of the type of coupling.,Dürfen Sie ein geschlepptes Motorrad fahren  wenn Sie keine Fahrerlaubnis für dieses haben?,Nein.,Ja  wenn das Motorrad mit einer Stange geschleppt wird.,Ja  unabhängig von der Art der Verbindung.,,,,,"<img src=""3C116.jpg"">"
1884,7173,Co powinieneś zrobić przed sprawdzeniem poziomu oleju w silniku?,Ustawić motocykl na bocznej podpórce.,Uruchomić silnik.,Wyłączyć silnik i odczekać kilka minut.,C,3C304.jpg,A A1 A2,,,,,What should you do before you check the level of oil in the engine?,Put the motorcycle on the side rest.,Start the engine.,Turn off the engine and wait a few minutes.,Was sollten Sie tun  bevor Sie den Ölstand im Motor kontrollieren?,Motorrad auf den Seitenständer stellen.,Motor anlassen.,Motor abstellen und ein paar Minuten abwarten.,,,,,"<img src=""3C304.jpg"">"
1885,7176,Którym z wymienionych pojazdów masz prawo wjechać na tak oznakowaną drogę?,Czterokołowcem lekkim  niezależnie od celu jazdy.,Motorowerem  przejeżdżając do najbliższego zjazdu.,Ciągnikiem rolniczym  który wykonuje prace porządkowe na tej drodze.,C,4A111.jpg,T,,,,,In which of the following vehicles can you enter the road marked this way?,In a light  four-wheeled vehicle  regardless of the purpose.,In a moped  going to the next exit.,In a tractor  if you are performing a cleaning job on the road.,Mit welchem von den nachstehend genannten Fahrzeugen dürfen Sie in eine so gekennzeichnete Straße einfahren?,Mit einem vierrädrigen Leichtkraftfahrzeug  unabhängig vom Zweck der Fahrt.,Mit einem Motorfahrrad  bis zur nächsten Ausfahrt.,Mit einer landwirtschaftlichen Zugmaschine  die Ordnungsarbeiten auf dieser Straße durchführt.,,,,,"<img src=""4A111.jpg"">"
1886,7177,Czy ciągnik rolniczy powinien być wyposażony w gaśnicę?,Tak.,Nie.,Tylko  jeżeli ciągnie przyczepę.,A,4A215.jpg,T,,,,,Should a tractor be equipped with a fire extinguisher?,Yes.,No.,Only if it is carrying a trailer.,Soll die landwirtschaftliche Zugmaschine mit einem Feuerlöscher ausgerüstet sein?,Ja.,Nein.,Nur wenn Sie einen Anhänger zieht.,,,,,"<img src=""4A215.jpg"">"
1887,7178,Jaki odstęp powinieneś zachować jadąc za innym pojazdem?,Uzależniony wyłącznie od twoich umiejętności i doświadczenia.,Niezbędny do uniknięcia zderzenia w razie hamowania lub zatrzymania się poprzedzającego pojazdu.,Wynoszący co najmniej dwie długości twojego pojazdu niezależnie od prędkości i warunków panujących na drodze.,B,4B170.jpg,T,,,,,What distance should you keep from the car travelling in front of you?,It solely depends on your skills and experience.,The distance necessary to avoid a crash in the event that the car in front of you brakes or stops.,A distance equal to at least twice the length of your car  regardless of the speed and conditions on the road.,Wie groß soll der Abstand sein  den Sie von einem vorausfahrenden Fahrzeug einhalten sollen?,Er hängt ausschließlich von Ihren Fahrkenntnissen und Erfahrung ab.,So groß  wie es notwendig ist  dass Sie beim Bremsen oder Anhalten des vorausfahrenden Fahrzeugs den Zusammenstoß vermeiden.,Mindestens zweifache Länge Ihres Fahrzeugs  unabhängig von der Geschwindigkeit und von den Straßenverhältnissen.,,,,,"<img src=""4B170.jpg"">"
1888,7179,Jak  w przybliżeniu  wzrasta długość drogi hamowania pojazdu przy dwukrotnie większej prędkości?,Czterokrotnie.,Trzykrotnie.,Dwukrotnie.,A,4B171.jpg,T,,,,,Approximately  by how much does the braking distance increase if speed is doubled?,Four times.,Three times.,Twice.,Wie ungefähr verlängert sich der Bremsweg des Fahrzeugs bei verdoppelter Geschwindigkeit?,Vierfach.,Dreifach.,Zweifach.,,,,,"<img src=""4B171.jpg"">"
1889,7180,Na co  przede wszystkim  powinieneś zwrócić uwagę podczas wymijania innego pojazdu?,Na prawidłowe ułożenie rąk na kierownicy.,Na pojazdy jadące za Tobą.,Na zachowanie bezpiecznego odstępu.,C,4B172.jpg,T,,,,,What should you pay most attention to when passing another vehicle?,To proper positioning of your hands on the steering wheel.,To the cars behind you.,To keeping a safe distance.,Worauf sollen Sie vor allem achten  wenn Sie einem anderen Fahrzeug ausweichen?,Auf die richtige Position der Hände auf dem Lenkrad.,Auf die hinter Ihnen fahrenden Fahrzeuge.,Auf die Einhaltung eines sicheren Abstands.,,,,,"<img src=""4B172.jpg"">"
1890,7181,Od czego  w szczególności  zależy bezpieczny odstęp  który powinieneś zachować jadąc za innym pojazdem?,Od prędkości  z jaką jedziesz.,Od mocy silnika w pojeździe.,Od szerokości jezdni.,A,4B173.jpg,T,,,,,What does the safe distance you are required to keep while driving behind another car depend on?,On the speed with which you're driving.,On the power of your engine.,On the width of the road.,Wovon hängt im Einzelnen der sichere Abstand  den Sie zum vorausfahrenden Fahrzeug einhalten sollen  ab?,Von der Geschwindigkeit  mit der Sie fahren.,Von der Motorleistung des Fahrzeugs.,Von der Breite der Fahrbahn.,,,,,"<img src=""4B173.jpg"">"
1891,7182,Czego możesz się spodziewać  podczas gwałtownego hamowania  w takich warunkach drogowych?,Zwiększonej przyczepności kół do jezdni.,Zwiększonej siły tarcia.,Zmniejszonej przyczepności kół do jezdni.,C,4B174.jpg,T,,,,,What can you expect while braking forcefully in these road conditions?,Increased traction of the wheels to the road.,Increased friction.,Decreased traction of the wheels to the road.,Was können Sie erwarten  wenn Sie bei solchen Straßenverhältnissen plötzlich bremsen?,Verbesserung der Bodenhaftung der Räder.,Erhöhung der Reibungskraft.,Verringerung der Bodenhaftung der Räder.,,,,,"<img src=""4B174.jpg"">"
1892,7183,Od czego powinna być uzależniona odległość ciągnika rolniczego  od pojazdu poprzedzającego?,Od panujących warunków i możliwego czasu reakcji kierującego.,Tylko od panujących warunków atmosferycznych.,Tylko od rodzaju nawierzchni drogi.,A,4B175.jpg,T,,,,,What is the distance of the agricultural tractor from the preceding vehicle dependent on?,The situation on the road and the reaction time of the driver.,Only the weather conditions.,Only the type of surface of the road.,Wovon soll der Abstand einer landwirtschaftlichen Zugmaschine zum vorausfahrenden Fahrzeug abhängig gemacht werden?,Von herrschenden Verhältnissen und von der möglichen Reaktionszeit des Fahrers.,Nur von den Wetterverhältnissen.,Nur von der Art der Straßendecke.,,,,,"<img src=""4B175.jpg"">"
1893,7185,Czy wymijając w nocy inny pojazd  który oświetla drogę przed sobą  powinieneś uwzględnić  że może to ograniczać Twoją zdolność dostrzegania przeszkód na jezdni?,Tak  z powodu możliwość chwilowego oślepienia światłami.,Nie  światła pojazdu z przeciwka zawsze poprawiają widoczność na jezdni.,Nie  nie wpływa to na widoczność na drodze.,A,4B271.jpg,T,,,,,If  at night  you pass another car lighting the road with its lights  can this stop you from noticing any obstacles on the road?,Yes  because there is a possibility of being temporarily blinded by the lights.,No  the lights of the car coming from the opposite direction always improve visibility on the road.,No  this does not affect the visibility on the road.,Kann das Erkennen eines Hindernisses auf der Fahrbahn beeinträchtigt werden  wenn Sie nachts an einem entgegenkommenden Fahrzeug  das die Straße mit seinem Licht ausleuchtet  vorbeifahren?,Ja  weil eine kurze Blendung möglich ist.,Nein  das Licht des Gegenverkehrs verbessert immer die Sichtverhältnisse auf der Straße.,Nein  das hat keinen Einfluss auf die Sichtverhältnisse auf der Straße.,,,,,"<img src=""4B271.jpg"">"
1894,7186,Czy w czasie jazdy w nocy należy zwiększyć uwagę?,Tak  ponieważ widoczność w nocy jest ograniczona.,Nie  ponieważ w nocy ruch na drodze jest mniejszy.,Nie  ponieważ w nocy możesz włączyć światła drogowe.,A,4B272.jpg,T,,,,,Should you be more alert when you're driving at night?,Yes  because visibility at night is limited.,No  because there is less traffic on the road at night.,No  because at night one can turn on high-beam lights.,Soll man bei der Nachtfahrt aufmerksamer sein?,Ja  weil die Sichtverhältnisse nachts schlechter sind.,Nein  weil der Verkehr auf der Straße nachts kleiner ist.,Nein  weil Sie nachts Fernlicht einschalten dürfen.,,,,,"<img src=""4B272.jpg"">"
